441421:978.013000,-2.318000,12.627000
441426:977.952026,-2.379000,12.627000
441432:977.890991,-2.379000,12.627000
441437:977.830017,-2.379000,12.627000
441443:977.830017,-2.379000,12.688000
441448:977.830017,-2.379000,12.688000
441453:977.830017,-2.379000,12.688000
441459:977.830017,-2.318000,12.749001
441464:977.768982,-2.318000,12.810000
441470:977.768982,-2.318000,12.749001
441475:977.768982,-2.318000,12.749001
441480:977.708008,-2.318000,12.749001
441486:977.708008,-2.318000,12.688000
441491:977.708008,-2.318000,12.688000
441496:977.708008,-2.318000,12.688000
441502:977.708008,-2.318000,12.749001
441507:977.768982,-2.257000,12.871000
441513:977.830017,-2.196000,12.871000
441518:977.830017,-2.196000,12.871000
441523:977.830017,-2.196000,12.871000
441529:977.830017,-2.196000,12.871000
441534:977.890991,-2.196000,12.810000
441540:977.890991,-2.196000,12.810000
441545:977.830017,-2.196000,12.810000
441550:977.768982,-2.196000,12.810000
441556:977.768982,-2.196000,12.810000
441561:977.830017,-2.257000,12.871000
441567:977.890991,-2.257000,12.871000
441572:977.768982,-2.318000,12.810000
441577:977.708008,-2.318000,12.810000
441583:977.708008,-2.379000,12.810000
441588:977.708008,-2.379000,12.871000
441594:977.708008,-2.318000,12.810000
441599:977.708008,-2.318000,12.810000
441604:977.708008,-2.257000,12.810000
441610:977.708008,-2.257000,12.810000
441615:977.708008,-2.196000,12.749001
441620:977.708008,-2.196000,12.749001
441626:977.708008,-2.196000,12.749001
441631:977.708008,-2.196000,12.749001
441636:977.708008,-2.196000,12.688000
441642:977.708008,-2.196000,12.688000
441647:977.708008,-2.196000,12.749001
441653:977.768982,-2.196000,12.749001
441658:977.830017,-2.135000,12.871000
441663:977.830017,-2.135000,12.871000
441669:977.830017,-2.074000,12.810000
441674:977.830017,-2.074000,12.871000
441680:977.768982,-2.074000,12.871000
441685:977.768982,-2.074000,12.810000
441690:977.768982,-2.074000,12.810000
441696:977.768982,-2.135000,12.810000
441701:977.708008,-2.135000,12.749001
441707:977.708008,-2.135000,12.688000
441712:977.708008,-2.135000,12.749001
441717:977.708008,-2.196000,12.810000
441723:977.708008,-2.135000,12.810000
441728:977.708008,-2.196000,12.749001
441733:977.768982,-2.196000,12.749001
441739:977.768982,-2.196000,12.688000
441744:977.890991,-2.257000,12.688000
441750:977.890991,-2.257000,12.566000
441755:977.890991,-2.257000,12.566000
441760:977.952026,-2.257000,12.566000
441766:978.013000,-2.318000,12.566000
441771:978.013000,-2.318000,12.566000
