558599:42.212002,9.882000,-986.736023
558604:42.212002,9.882000,-986.736023
558610:42.212002,9.882000,-986.736023
558615:42.212002,9.882000,-986.736023
558621:42.272999,9.882000,-986.736023
558626:42.272999,9.882000,-986.796997
558631:42.212002,9.943000,-986.674988
558637:42.212002,9.943000,-986.614014
558642:42.151001,9.943000,-986.553040
558648:42.090000,9.943000,-986.553040
558653:42.028999,9.882000,-986.614014
558658:41.968002,9.882000,-986.614014
558664:41.968002,9.882000,-986.553040
558669:41.968002,9.882000,-986.431030
558674:41.968002,9.943000,-986.431030
558680:42.028999,9.882000,-986.492004
558685:42.028999,9.882000,-986.553040
558691:42.090000,9.882000,-986.553040
558696:42.151001,9.882000,-986.492004
558701:42.151001,9.821000,-986.553040
558707:42.151001,9.821000,-986.553040
558712:42.212002,9.821000,-986.614014
558718:42.212002,9.821000,-986.614014
558723:42.272999,9.821000,-986.674988
558728:42.272999,9.821000,-986.674988
558734:42.272999,9.821000,-986.674988
558739:42.272999,9.760000,-986.674988
558745:42.272999,9.760000,-986.736023
558750:42.212002,9.760000,-986.736023
558755:42.212002,9.821000,-986.674988
558761:42.212002,9.821000,-986.736023
558766:42.212002,9.760000,-986.736023
558772:42.212002,9.760000,-986.736023
558777:42.212002,9.760000,-986.736023
558782:42.212002,9.760000,-986.736023
558788:42.272999,9.760000,-986.674988
558793:42.272999,9.760000,-986.614014
558798:42.272999,9.760000,-986.614014
558804:42.334000,9.760000,-986.614014
558809:42.334000,9.760000,-986.614014
558815:42.395000,9.760000,-986.614014
558820:42.395000,9.760000,-986.614014
558825:42.395000,9.821000,-986.614014
558831:42.334000,9.821000,-986.614014
558836:42.334000,9.821000,-986.614014
558842:42.272999,9.821000,-986.614014
558847:42.212002,9.821000,-986.553040
558852:42.212002,9.821000,-986.553040
558858:42.212002,9.821000,-986.553040
558863:42.212002,9.821000,-986.553040
558869:42.151001,9.760000,-986.553040
558874:42.151001,9.760000,-986.553040
558879:42.151001,9.821000,-986.553040
