TimeStamp,GBVibForward,GBVibLateral,GBVibVertical,addVibForward,addVibLateral,addVibVertical
2017/05/24_12:10:21.366,-1016.687,107.299,-6.344,0,,
2017/05/24_12:10:21.371,-1013.576,108.214,-9.943,0,,
2017/05/24_12:10:21.376,-1019.005,107.177,-6.588,0,,
2017/05/24_12:10:21.381,-1014.125,105.042,-6.954,0,,
2017/05/24_12:10:21.386,-1017.602,107.787,-5.734,0,,
2017/05/24_12:10:21.391,-1018.456,106.445,-7.503,0,,
2017/05/24_12:10:21.396,-1018.395,106.506,-7.869,0,,
2017/05/24_12:10:21.401,-1018.456,107.726,-7.32,0,,
2017/05/24_12:10:21.406,-1016.199,106.933,-8.479,0,,
2017/05/24_12:10:21.411,-1015.04,106.445,-9.394,0,,
2017/05/24_12:10:21.416,-1016.565,105.652,-9.943,0,,
2017/05/24_12:10:21.421,-1019.432,105.53,-10.37,0,,
2017/05/24_12:10:21.426,-1017.724,106.506,-4.758,0,,
2017/05/24_12:10:21.431,-1018.761,105.835,-6.283,0,,
2017/05/24_12:10:21.436,-1017.297,106.75,-8.052,0,,
2017/05/24_12:10:21.441,-1017.724,107.177,-6.649,0,,
2017/05/24_12:10:21.446,-1017.236,106.933,-5.246,0,,
2017/05/24_12:10:21.451,-1013.82,105.957,-6.954,0,,
2017/05/24_12:10:21.456,-1018.395,105.225,-6.1,0,,
2017/05/24_12:10:21.461,-1015.65,106.262,-7.32,0,,
2017/05/24_12:10:21.466,-1018.944,104.005,-5.307,0,,
2017/05/24_12:10:21.471,-1018.09,105.591,-9.333,0,,
2017/05/24_12:10:21.476,-1016.87,104.92,-6.344,0,,
2017/05/24_12:10:21.481,-1017.846,106.506,-9.577,0,,
2017/05/24_12:10:21.486,-1017.968,108.031,-6.1,0,,
2017/05/24_12:10:21.491,-1017.968,106.445,-7.503,0,,
2017/05/24_12:10:21.496,-1011.868,105.103,-7.686,0,,
2017/05/24_12:10:21.501,-1015.65,105.591,-10.065,0,,
2017/05/24_12:10:21.506,-1015.406,105.835,-7.869,0,,
2017/05/24_12:10:21.511,-1017.114,104.615,-6.71,0,,
2017/05/24_12:10:21.516,-1019.92,108.031,-5.002,0,,
2017/05/24_12:10:21.521,-1019.127,104.737,-8.235,0,,
2017/05/24_12:10:21.526,-1015.833,108.031,-9.333,0,,
2017/05/24_12:10:21.531,-1016.992,106.933,-6.344,0,,
2017/05/24_12:10:21.536,-1016.443,106.079,-9.028,0,,
2017/05/24_12:10:21.541,-1016.504,104.066,-7.381,0,,
2017/05/24_12:10:21.546,-1017.053,104.615,-4.697,0,,
2017/05/24_12:10:21.551,-1017.602,105.103,-5.673,0,,
